"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-06-18","89.4","-2.13","5.43","Hughes, Gabriel",665750,687312,"grounded_into_double_play","hit_into_play",,,,,8,"Leody Taveras grounds into a double play, second baseman Adael Amador to shortstop Owen Miller to first baseman Warming Bernabel. Harry Ford out at 2nd. Leody Taveras out at 1st.","R","L","R","TAC","ABQ","X",4,"ground_ball",0,0,2025,"-0.36","1.11","-0.05","1.58",668853,670042,695670,1,3,"Bot",138.84,156.78,,,,,5.959927720276765,-130.05399899465402,-5.951957124730895,-5.214359225769115,23.48612680867381,-18.567594447561113,"3.29","1.66",25,"76.7",-2,"91",1779,"7",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.55",0.094,0.111,"0",1,0,0,2,28,1,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",201,"-0.18","-0.318",,,0.096,"0.318","88.0",-1,-1,"0.551","0.551",23,26,24,27,2,1,,,,,"1.72","0.36","-0.36",,,,,,
"CS","2025-06-18","71.5","-1.46","5.94","Hughes, Gabriel",695670,687312,"walk","ball",,,,,11,"Harry Ford walks. Luke Raley to 2nd.","R","R","R","TAC","ABQ","B",,,3,2,2025,"0.5","-1.4","-1.81","4.72",668853,,670042,1,3,"Bot",,,,,,,-1.5405642127102832,-103.80360835967835,7.591397520825723,3.8702646989343075,17.757554713139918,-43.83655083860376,"3.12","1.58",,,,"71.9",2231,"6.8",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.72",,0.693921,"0.7",1,0,0,,27,6,"Slow Curve",1,2,1,2,2,1,1,2,"Standard","Standard",29,"0.042","0.224",,,,"-0.224",,-1,-1,"0.509","0.509",23,22,24,22,2,1,,,,,"5.89","-0.5","-0.5",,,,,,
"CS","2025-06-18","73.8","-1.27","5.73","Hughes, Gabriel",695670,687312,,"blocked_ball",,,,,14,"Harry Ford walks. Luke Raley to 2nd.","R","R","R","TAC","ABQ","B",,,2,2,2025,"0.59","-1.25","0.3","0.73",668853,,670042,1,3,"Bot",,,,,,,2.1747079465984687,-107.48292603554616,-0.6851594209976489,4.188722204681445,19.36392707838704,-41.95632320285011,"3.12","1.58",,,,"74.7",2285,"7",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.51",,,,,,,,27,5,"Slow Curve",1,2,1,2,2,1,1,2,"Standard","Standard",17,"0","0.086",,,,"-0.086",,-1,-1,"0.509","0.509",23,22,24,22,2,1,,,,,"5.44","-0.59","-0.59",,,,,,
"CU","2025-06-18","74.8","-1.56","5.78","Hughes, Gabriel",695670,687312,,"foul",,,,,7,"Harry Ford walks. Luke Raley to 2nd.","R","R","R","TAC","ABQ","S",,,2,1,2025,"-0.01","-1.02","-0.41","2.02",668853,,670042,1,3,"Bot",,,,,,,2.4286943629560143,-108.85149127292806,1.3080899358247577,-0.5321242765165932,20.78435021891052,-40.69595681412764,"3.12","1.58",4,"71.1",-32,"75.2",2173,"6.8",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.7",,,,,,,,27,4,"Curveball",1,2,1,2,2,1,1,2,"Standard","Standard",24,"0","-0.087",,,,"0.087","88.0",-1,-1,"0.509","0.509",23,22,24,22,2,1,,,,,"5.12","0.01","0.01",,,,,,
"CH","2025-06-18","89.8","-2.03","5.4","Hughes, Gabriel",695670,687312,,"ball",,,,,11,"Harry Ford walks. Luke Raley to 2nd.","R","R","R","TAC","ABQ","B",,,1,1,2025,"-0.97","1.27","-1.09","3.32",668853,,670042,1,3,"Bot",,,,,,,4.43929375938398,-130.70957477225156,-1.875127380912747,-12.058415165673964,27.455724484687963,-17.371759674319815,"3.12","1.58",,,,"90.6",1794,"6.8",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.73",,,,,,,,27,3,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",202,"0","0.045",,,,"-0.045",,-1,-1,"0.509","0.509",23,22,24,22,2,1,,,,,"1.55","0.97","0.97",,,,,,
"CH","2025-06-18","89.8","-1.94","5.45","Hughes, Gabriel",695670,687312,,"ball",,,,,11,"Harry Ford walks. Luke Raley to 2nd.","R","R","R","TAC","ABQ","B",,,0,1,2025,"-0.79","1.35","-0.71","4.48",668853,,670042,1,3,"Bot",,,,,,,4.7844857803511545,-130.71472154587894,0.7207213021344161,-10.019277093963993,26.2763593546616,-17.029659059474962,"3.12","1.58",,,,"91",1861,"6.9",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.6",,,,,,,,27,2,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",203,"0","0.036",,,,"-0.036",,-1,-1,"0.509","0.509",23,22,24,22,2,1,,,,,"1.47","0.79","0.79",,,,,,
"SI","2025-06-18","90.9","-1.86","5.62","Hughes, Gabriel",695670,687312,,"foul",,,,,2,"Harry Ford walks. Luke Raley to 2nd.","R","R","R","TAC","ABQ","S",,,0,0,2025,"-1.02","1.17","-0.15","2.81",668853,,670042,1,3,"Bot",,,,,,,6.559380955163468,-132.2719138166609,-3.7057736546671394,-13.381836368530394,26.82020981329953,-17.838517055694147,"3.12","1.58",186,"71.3",63,"92.1",2021,"6.9",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.62",,,,,,,,27,1,"Sinker",1,2,1,2,2,1,1,2,"Standard","Standard",194,"0","-0.065",,,,"0.065","88.0",-1,-1,"0.509","0.509",23,22,24,22,2,1,,,,,"1.58","1.02","1.02",,,,,,
"CH","2025-06-18","85.1","-1.98","5.46","Hughes, Gabriel",670042,687312,"single","hit_into_play",,,,,8,"Luke Raley singles on a sharp line drive to right fielder Yanquiel Fernández. Austin Shenton to 3rd.","R","L","R","TAC","ABQ","X",9,"line_drive",0,1,2025,"-1.29","0.49","0.09","2.06",,668853,,1,3,"Bot",167.45,113.41,,,,,7.517494959930793,-123.82129925819079,-2.6958142862480985,-14.720919961753943,23.783164708257516,-26.779227726831294,"3.33","1.68",238,"110.8",13,"86.2",1675,"6.9",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.61",0.794,0.847,"0.9",1,1,0,6,26,2,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",233,"0.056","0.611",,,1.22,"-0.611","110.8",-1,-1,"0.453","0.453",23,30,24,31,2,1,,,,,"2.65","1.29","-1.29",,,,,,
"FF","2025-06-18","89.2","-2.08","5.45","Hughes, Gabriel",670042,687312,,"called_strike",,,,,1,"Luke Raley singles on a sharp line drive to right fielder Yanquiel Fernández. Austin Shenton to 3rd.","R","L","R","TAC","ABQ","S",,,0,0,2025,"-0.47","1.07","-0.52","3.1",,668853,,1,3,"Bot",,,,,,,4.886977197827378,-130.0260756986182,-2.1171789299125816,-6.2841435120306555,23.35559030350898,-19.67668350314292,"3.33","1.68",,,,"90.6",1911,"6.8",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.75",,,,,,,,26,1,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",201,"0","-0.066",,,,"0.066",,-1,-1,"0.453","0.453",23,30,24,31,2,1,,,,,"1.75","0.47","-0.47",,,,,,
"SL","2025-06-18","85.1","-1.82","5.53","Hughes, Gabriel",669392,687312,"sac_bunt","hit_into_play",,,,,9,"Samad Taylor out on a sacrifice bunt, catcher Drew Romo to first baseman Warming Bernabel. Austin Shenton to 2nd.","R","R","R","TAC","ABQ","X",2,"ground_ball",3,1,2025,"0.1","0.28","0.53","1.79",,,668853,0,3,"Bot",126,204.5,,,,,5.356117417009186,-123.80708963156081,-3.046870890362352,-0.02982019380725936,24.764176385077462,-28.860986168623366,"3.04","1.54",2,"18.8",-47,"85.9",2128,"6.8",779550,691011,682653,691182,668845,680911,694514,691728,692585,"53.69",0.274,,"0.2",0,0,0,1,25,5,"Slider",1,2,1,2,2,1,1,2,"Strategic","Standard",173,"-0.021","-0.19",,,0.274,"0.19","88.0",-1,-1,"0.474","0.474",23,26,24,27,2,1,,,,,"2.87","-0.1","-0.1",,,,,,
