"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CH","2025-06-27","86.7","2.01","5.82","O'Loughlin, Jack",687515,672552,"strikeout","swinging_strike",,,,,14,"Colby Thomas strikes out swinging.","R","R","L","LV","ABQ","S",2,,2,2,2025,"1.07","0.2","0.63","0.83",680869,,,2,6,"Bot",,,,,,,-5.48716861977917,-125.97562955877798,-6.059943929533622,12.500256096200166,28.109368830447877,-28.908993400763137,"3.12","1.57",,,,"86.1",1486,"6.2",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.27",,0,"0",1,0,0,,57,5,"Changeup",7,6,7,6,6,7,7,6,"Standard","Strategic",112,"-0.038","-0.232",,,,"0.232",,1,1,"0.738","0.738",25,24,25,24,2,3,,,,,"2.87","1.07","-1.07",,,,,,
"FF","2025-06-27","93.4","1.7","5.93","O'Loughlin, Jack",687515,672552,,"ball",,,,,13,"Colby Thomas strikes out swinging.","R","R","L","LV","ABQ","B",,,1,2,2025,"0.72","0.95","-1.55","1.59",680869,,,2,6,"Bot",,,,,,,-9.931112448635394,-135.51417640688808,-7.484707474310776,11.01558608923907,28.72683269144798,-18.95909116048668,"3.12","1.57",,,,"93.3",2142,"6.3",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.18",,,,,,,,57,4,"4-Seam Fastball",7,6,7,6,6,7,7,6,"Standard","Strategic",136,"0","0.043",,,,"-0.043",,1,1,"0.738","0.738",25,24,25,24,2,3,,,,,"1.67","0.72","-0.72",,,,,,
"CH","2025-06-27","85.9","2.03","5.76","O'Loughlin, Jack",687515,672552,,"swinging_strike",,,,,14,"Colby Thomas strikes out swinging.","R","R","L","LV","ABQ","S",,,1,1,2025,"1.34","-0.31","0.3","0.96",680869,,,2,6,"Bot",,,,,,,-6.826689905693035,-124.74181923167777,-4.393251629977079,15.436767025371378,27.94810519644365,-34.57062102173959,"3.12","1.57",,,,"85.5",1600,"6.4",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.12",,,,,,,,57,3,"Changeup",7,6,7,6,6,7,7,6,"Standard","Strategic",111,"0","-0.069",,,,"0.069",,1,1,"0.738","0.738",25,24,25,24,2,3,,,,,"3.44","1.34","-1.34",,,,,,
"SL","2025-06-27","82.2","1.94","5.83","O'Loughlin, Jack",687515,672552,,"called_strike",,,,,3,"Colby Thomas strikes out swinging.","R","R","L","LV","ABQ","S",,,1,0,2025,"-0.25","-0.14","0.62","2.77",680869,,,2,6,"Bot",,,,,,,-2.5046375568520594,-119.77760274803073,-0.1909065757562104,-1.9516090063167628,21.999148279132644,-33.65214484764184,"3.12","1.57",,,,"82.3",2399,"6.2",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.35",,,,,,,,57,2,"Slider",7,6,7,6,6,7,7,6,"Standard","Strategic",287,"0","-0.067",,,,"0.067",,1,1,"0.738","0.738",25,24,25,24,2,3,,,,,"3.49","-0.25","0.25",,,,,,
"CU","2025-06-27","76.9","1.89","5.93","O'Loughlin, Jack",687515,672552,,"ball",,,,,14,"Colby Thomas strikes out swinging.","R","R","L","LV","ABQ","B",,,0,0,2025,"-0.49","-0.91","1.27","2.03",680869,,,2,6,"Bot",,,,,,,-0.4330654482500673,-111.9512232240606,0.42218605927446773,-4.054506849025873,21.704948649450888,-40.12625668539769,"3.12","1.57",,,,"76.7",2307,"6.3",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.22",,,,,,,,57,1,"Curveball",7,6,7,6,6,7,7,6,"Standard","Strategic",322,"0","0.039",,,,"-0.039",,1,1,"0.738","0.738",25,24,25,24,2,3,,,,,"4.79","-0.49","0.49",,,,,,
"SL","2025-06-27","82.7","2.12","5.81","O'Loughlin, Jack",666126,672552,"grounded_into_double_play","hit_into_play",,,,,12,"Carlos Cortes grounds into a double play, shortstop Owen Miller to first baseman Keston Hiura. Zack Gelof to 3rd. Darell Hernaiz out at 2nd. Carlos Cortes out at 1st.","R","L","L","LV","ABQ","X",6,"ground_ball",1,0,2025,"-0.06","-0.16","1.04","2.8",,680869,687231,0,6,"Bot",120.63,155.06,,,,,-2.359819821497961,-120.54600169663166,-0.14828298233758574,-0.14886052988240697,20.458904930035846,-33.91642238615548,"2.99","1.51",66,"68",5,"83.2",2283,"6.2",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.25",0.194,0.183,"0",1,0,0,2,56,2,"Slider",7,6,7,6,6,7,7,6,"Standard","Standard",304,"-0.082","-0.395",,,0.219,"0.395","88.0",1,1,"0.82","0.82",25,28,25,28,2,3,,,,,"3.45","-0.06","-0.06",,,,,,
"CU","2025-06-27","75.1","2","5.87","O'Loughlin, Jack",666126,672552,,"ball",,,,,12,"Carlos Cortes grounds into a double play, shortstop Owen Miller to first baseman Keston Hiura. Zack Gelof to 3rd. Darell Hernaiz out at 2nd. Carlos Cortes out at 1st.","R","L","L","LV","ABQ","B",,,0,0,2025,"-0.74","-0.88","1.96","3.38",,680869,687231,0,6,"Bot",,,,,,,1.2309199678810316,-109.40867704107241,3.4918764003098666,-6.1711464804904095,17.83692980927377,-40.065437229662294,"2.99","1.51",,,,"75.3",2176,"6.2",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.3",,,,,,,,56,1,"Curveball",7,6,7,6,6,7,7,6,"Standard","Standard",317,"0","0.061",,,,"-0.061",,1,1,"0.82","0.82",25,28,25,28,2,3,,,,,"4.89","-0.74","-0.74",,,,,,
"SL","2025-06-27","82.9","2.07","5.84","O'Loughlin, Jack",687231,672552,"single","hit_into_play",,,,,8,"Darell Hernaiz singles on a ground ball to left fielder Sterlin Thompson. Zack Gelof to 2nd.","R","R","L","LV","ABQ","X",7,"ground_ball",1,2,2025,"-0.11","-0.14","0.22","1.64",,,680869,0,6,"Bot",91.56,119.93,,,,,-3.981857189533402,-120.71852285671629,-2.8571618546822544,-0.3511850893487181,23.12451897635283,-33.175721142352366,"3.2","1.61",6,"109.8",-16,"82.7",2349,"6.1",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.4",0.206,0.185,"0.9",1,1,0,2,55,4,"Slider",7,6,7,6,6,7,7,6,"Standard","Standard",307,"0.043","0.557",,,0.215,"-0.557","109.8",1,1,"0.777","0.777",25,23,25,24,1,3,,,,,"3.44","-0.11","0.11",,,,,,
"FF","2025-06-27","92.1","1.98","5.91","O'Loughlin, Jack",687231,672552,,"called_strike",,,,,7,"Darell Hernaiz singles on a ground ball to left fielder Sterlin Thompson. Zack Gelof to 2nd.","R","R","L","LV","ABQ","S",,,1,1,2025,"0.41","0.88","-0.41","1.97",,,680869,0,6,"Bot",,,,,,,-6.95073552339945,-133.8930978905294,-6.111238985285739,6.3502741767129205,26.804659173418017,-20.469199536780632,"3.2","1.61",,,,"92.3",2199,"6.3",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.21",,,,,,,,55,3,"4-Seam Fastball",7,6,7,6,6,7,7,6,"Standard","Standard",142,"0","-0.072",,,,"0.072",,1,1,"0.777","0.777",25,23,25,24,1,3,,,,,"1.8","0.41","-0.41",,,,,,
"FF","2025-06-27","91.9","1.99","5.96","O'Loughlin, Jack",687231,672552,,"called_strike",,,,,5,"Darell Hernaiz singles on a ground ball to left fielder Sterlin Thompson. Zack Gelof to 2nd.","R","R","L","LV","ABQ","S",,,1,0,2025,"0.5","1.02","-0.05","2.67",,,680869,0,6,"Bot",,,,,,,-6.253336480067615,-133.83642223333297,-4.751552501255045,7.272948888520563,25.737620894561953,-19.0851099172976,"3.2","1.61",,,,"92.1",2201,"6.1",780069,691011,669374,691182,668845,680911,694514,656248,691728,"54.35",,,,,,,,55,2,"4-Seam Fastball",7,6,7,6,6,7,7,6,"Standard","Standard",140,"0","-0.076",,,,"0.076",,1,1,"0.777","0.777",25,23,25,24,1,3,,,,,"1.65","0.5","-0.5",,,,,,
