"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CU","2025-06-29","77.1","-2.13","4.14","Hoffman, Nolan",683021,676510,"strikeout","called_strike",,,,,4,"Michael Stefanic called out on strikes.","R","R","R","BUF","LHV","S",2,,0,2,2025,"1.54","-0.59","-0.47","2.12",,,687069,2,7,"Bot",,,,,,,0.7276371600415258,-112.14974064672714,3.775688424967986,12.78198530468978,22.012117794102796,-38.06596366458411,"3.09","1.56",,,,"76.6",2471,"6.2",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.33",,0,"0",1,0,0,,56,3,"Curveball",3,2,3,2,2,3,3,2,"Standard","Standard",65,"-0.02","-0.157",,,,"0.157",,1,1,"0.773","0.773",27,29,28,29,1,3,,,,,"4.45","-1.54","-1.54",,,,,,
"SI","2025-06-29","93.4","-1.93","3.98","Hoffman, Nolan",683021,676510,,"foul",,,,,4,"Michael Stefanic called out on strikes.","R","R","R","BUF","LHV","S",,,0,1,2025,"-1.6","0.37","-0.67","2.52",,,687069,2,7,"Bot",,,,,,,6.744978863389165,-135.92694105143346,1.1598414194884952,-21.268083909947382,28.861932727778473,-28.041035287818804,"3.09","1.56",,,,"93.4",2335,"6.2",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.29",,,,,,,,56,2,"Sinker",3,2,3,2,2,3,3,2,"Standard","Standard",252,"0","-0.067",,,,"0.067",,1,1,"0.773","0.773",27,29,28,29,1,3,,,,,"2.24","1.6","1.6",,,,,,
"SI","2025-06-29","94.1","-1.99","3.96","Hoffman, Nolan",683021,676510,,"called_strike",,,,,8,"Michael Stefanic called out on strikes.","R","R","R","BUF","LHV","S",,,0,0,2025,"-1.47","0.26","0.17","1.89",,,687069,2,7,"Bot",,,,,,,8.841923471531572,-136.80127072955008,-0.27289659164408986,-20.368285068261013,29.208164258064873,-28.99635529856235,"3.09","1.56",,,,"94",2321,"6.2",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.28",,,,,,,,56,1,"Sinker",3,2,3,2,2,3,3,2,"Standard","Standard",258,"0","-0.06",,,,"0.06",,1,1,"0.773","0.773",27,29,28,29,1,3,,,,,"2.31","1.47","1.47",,,,,,
"SI","2025-06-29","93.7","-2.04","3.95","Hoffman, Nolan",687069,676510,"walk","ball",,,,,13,"Josh Rivera walks.","R","R","R","BUF","LHV","B",,,3,1,2025,"-1.54","0.3","-1.89","1.9",,,,2,7,"Bot",,,,,,,3.79943121068046,-136.52647288418635,-0.27625390079550016,-20.097668051334132,27.6592300668417,-28.58640515462206,"3.3","1.67",,,,"94.6",2354,"6.6",781724,668721,642215,680709,672463,684081,663714,670276,687282,"53.92",,0.693921,"0.7",1,0,0,,55,5,"Sinker",3,2,3,2,2,3,3,2,"Standard","Standard",255,"0.011","0.192",,,,"-0.192",,1,1,"0.762","0.762",27,24,28,25,1,2,,,,,"2.28","1.54","1.54",,,,,,
"CU","2025-06-29","78.1","-2.12","4.21","Hoffman, Nolan",687069,676510,,"ball",,,,,14,"Josh Rivera walks.","R","R","R","BUF","LHV","B",,,2,1,2025,"1.37","-0.45","1.15","1.81",,,,2,7,"Bot",,,,,,,4.533877673637569,-113.54466385403384,2.5860581469464896,10.865077991116186,22.27631438724629,-36.753980728574895,"3.3","1.67",,,,"77.9",2782,"6.4",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.14",,,,,,,,55,4,"Curveball",3,2,3,2,2,3,3,2,"Standard","Standard",63,"0","0.116",,,,"-0.116",,1,1,"0.762","0.762",27,24,28,25,1,2,,,,,"4.21","-1.37","-1.37",,,,,,
"CH","2025-06-29","86.5","-1.94","3.88","Hoffman, Nolan",687069,676510,,"ball",,,,,14,"Josh Rivera walks.","R","R","R","BUF","LHV","B",,,1,1,2025,"-1.45","-0.08","1.42","2.02",,,,2,7,"Bot",,,,,,,10.941067917604066,-125.47759408508983,2.013511102767822,-17.603396218935732,26.428196467443062,-33.73238617745852,"3.3","1.67",,,,"86.2",1989,"6.4",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.12",,,,,,,,55,3,"Changeup",3,2,3,2,2,3,3,2,"Standard","Standard",285,"0","0.063",,,,"-0.063",,1,1,"0.762","0.762",27,24,28,25,1,2,,,,,"3.16","1.45","1.45",,,,,,
"CH","2025-06-29","85.9","-2.04","3.83","Hoffman, Nolan",687069,676510,,"ball",,,,,14,"Josh Rivera walks.","R","R","R","BUF","LHV","B",,,0,1,2025,"-1.39","0.04","0.77","1.52",,,,2,7,"Bot",,,,,,,9.454541465821306,-124.73028679197597,0.730053822514259,-16.42883532412003,25.96482748899032,-32.143011269434155,"3.3","1.67",,,,"85.6",1957,"6.3",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.18",,,,,,,,55,2,"Changeup",3,2,3,2,2,3,3,2,"Standard","Standard",282,"0","0.046",,,,"-0.046",,1,1,"0.762","0.762",27,24,28,25,1,2,,,,,"3.07","1.39","1.39",,,,,,
"SI","2025-06-29","93.5","-2.08","3.98","Hoffman, Nolan",687069,676510,,"called_strike",,,,,5,"Josh Rivera walks.","R","R","R","BUF","LHV","S",,,0,0,2025,"-1.39","0.6","0.01","2.24",,,,2,7,"Bot",,,,,,,8.42550160273602,-135.9160459758255,0.004405542888238911,-19.142789796105628,32.27551009593403,-25.04936572093535,"3.3","1.67",,,,"93",2394,"6.2",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.28",,,,,,,,55,1,"Sinker",3,2,3,2,2,3,3,2,"Standard","Standard",256,"0","-0.062",,,,"0.062",,1,1,"0.762","0.762",27,24,28,25,1,2,,,,,"2.03","1.39","1.39",,,,,,
"SI","2025-06-29","93.3","-1.95","3.96","Hoffman, Nolan",542194,676510,"field_out","hit_into_play",,,,,5,"Christian Bethancourt lines out sharply to center fielder Cal Stevenson.","R","R","R","BUF","LHV","X",8,"line_drive",2,2,2025,"-1.36","0.77","0.25","2.55",,,,1,7,"Bot",143.11,54.42,,,,,8.62330369014241,-135.68121087227254,0.44696968465664944,-18.656205603814175,29.330838559484036,-23.0021641858886,"3.34","1.69",360,"105.5",19,"93.2",2405,"6.2",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.25",0.56,0.724,"0",1,0,0,6,54,5,"Sinker",3,2,3,2,2,3,3,2,"Standard","Standard",252,"-0.014","-0.256",,,1.17,"0.256","105.5",1,1,"0.776","0.776",27,33,28,34,1,2,,,,,"1.85","1.36","1.36",,,,,,
"SI","2025-06-29","94","-2.01","4.05","Hoffman, Nolan",542194,676510,,"called_strike",,,,,12,"Christian Bethancourt lines out sharply to center fielder Cal Stevenson.","R","R","R","BUF","LHV","S",,,2,1,2025,"-1.45","0.54","0.86","2.68",,,,1,7,"Bot",,,,,,,10.644902409065354,-136.5210459674404,1.0268223027198438,-20.501277758305207,30.56322920916181,-25.92515041690025,"3.34","1.69",,,,"93.7",2422,"6.3",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.24",,,,,,,,54,4,"Sinker",3,2,3,2,2,3,3,2,"Standard","Standard",253,"0","-0.091",,,,"0.091",,1,1,"0.776","0.776",27,33,28,34,1,2,,,,,"2.05","1.45","1.45",,,,,,
"SI","2025-06-29","93.7","-2.06","4.04","Hoffman, Nolan",542194,676510,,"called_strike",,,,,6,"Christian Bethancourt lines out sharply to center fielder Cal Stevenson.","R","R","R","BUF","LHV","S",,,2,0,2025,"-1.47","0.85","0.34","2.62",,,,1,7,"Bot",,,,,,,9.445683755291043,-136.03959531910104,0.2513985742383764,-20.428059614534007,31.730194755850857,-21.92883968201367,"3.34","1.69",,,,"93.4",2485,"6.4",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.1",,,,,,,,54,3,"Sinker",3,2,3,2,2,3,3,2,"Standard","Standard",259,"0","-0.117",,,,"0.117",,1,1,"0.776","0.776",27,33,28,34,1,2,,,,,"1.77","1.47","1.47",,,,,,
"CU","2025-06-29","77.8","-2.08","4.28","Hoffman, Nolan",542194,676510,,"ball",,,,,14,"Christian Bethancourt lines out sharply to center fielder Cal Stevenson.","R","R","R","BUF","LHV","B",,,1,0,2025,"1.53","-0.67","0.77","1.26",,,,1,7,"Bot",,,,,,,3.2959397314524725,-113.09928594460796,1.8128130005164595,12.245794582616126,24.765362598832308,-38.50330345964185,"3.34","1.69",,,,"77",2643,"6.2",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.26",,,,,,,,54,2,"Curveball",3,2,3,2,2,3,3,2,"Standard","Standard",62,"0","0.108",,,,"-0.108",,1,1,"0.776","0.776",27,33,28,34,1,2,,,,,"4.51","-1.53","-1.53",,,,,,
"CU","2025-06-29","77.1","-2.06","4.27","Hoffman, Nolan",542194,676510,,"ball",,,,,13,"Christian Bethancourt lines out sharply to center fielder Cal Stevenson.","R","R","R","BUF","LHV","B",,,0,0,2025,"1.39","-0.55","-1.45","2.48",,,,1,7,"Bot",,,,,,,-1.23613982938445,-112.1017907659582,4.2855114319708365,11.790925506193362,24.012135620951014,-37.91462632781597,"3.34","1.69",,,,"76.2",2099,"6.1",781724,668721,642215,680709,672463,684081,663714,670276,687282,"54.39",,,,,,,,54,1,"Curveball",3,2,3,2,2,3,3,2,"Standard","Standard",60,"0","0.066",,,,"-0.066",,1,1,"0.776","0.776",27,33,28,34,1,2,,,,,"4.45","-1.39","-1.39",,,,,,
